"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",1594.16139605725
"2","member","Sunday",816.849685389536
"3","casual","Monday",1352.10247186656
"4","member","Monday",693.029044537889
"5","casual","Tuesday",1231.00846645367
"6","member","Tuesday",698.977273385575
"7","casual","Wednesday",1176.01835283322
"8","member","Wednesday",695.207858591303
"9","casual","Thursday",1200.37605376793
"10","member","Thursday",696.1540347916
"11","casual","Friday",1339.33568578915
"12","member","Friday",722.386187093472
"13","casual","Saturday",1555.34239323184
"14","member","Saturday",815.069538208794
